genome,depth,polisher,chrom_region,error_count,error_type,existing
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 2637300-2637338,4,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 2671890-2671920,1,Deletion,True
ATCC_19119_Listeria_ivanovii,25.0,hypo,chromosome 625056-625086,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,hypo,chromosome 657531-657561,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,hypo,chromosome 808078-808108,1,Deletion,True
ATCC_19119_Listeria_ivanovii,25.0,hypo,chromosome 1183816-1183846,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,hypo,chromosome 2021368-2021398,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,hypo,chromosome 2586623-2586653,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,hypo,chromosome 2701572-2701602,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,nextpolish,chromosome 1200402-1200432,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,nextpolish,chromosome 2113723-2113753,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,pilon,chromosome 2671888-2671920,3,Deletion,True
ATCC_19119_Listeria_ivanovii,25.0,polypolish-careful,chromosome 2671888-2671920,3,Deletion,True
ATCC_19119_Listeria_ivanovii,25.0,polypolish,chromosome 2671888-2671920,3,Deletion,True
ATCC_35221_Campylobacter_lari,25.0,hypo,chromosome 548173-548202,1,Insertion,False
ATCC_35221_Campylobacter_lari,25.0,hypo,chromosome 1058926-1058956,1,SNP,False
ATCC_35221_Campylobacter_lari,25.0,polypolish-careful,chromosome 491974-492004,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.0,polypolish-careful,chromosome 548170-548202,3,Deletion,True
ATCC_35221_Campylobacter_lari,25.0,polypolish,chromosome 491974-492004,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.0,polypolish,chromosome 548170-548202,3,Deletion,True
ATCC_14035_Vibrio_cholerae,25.0,fmlrc2,chromosome_1 1854603-1854642,6,SNP,False
ATCC_14035_Vibrio_cholerae,25.0,fmlrc2,chromosome_2 52020-52051,2,Mixed,False
ATCC_14035_Vibrio_cholerae,25.0,fmlrc2,chromosome_2 136013-136045,2,SNP,False
ATCC_14035_Vibrio_cholerae,25.0,fmlrc2,chromosome_2 902042-902072,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.0,fmlrc2,chromosome_2 925502-925531,1,Insertion,False
ATCC_14035_Vibrio_cholerae,25.0,fmlrc2,chromosome_2 981331-981385,12,Mixed,False
ATCC_14035_Vibrio_cholerae,25.0,hypo,chromosome_1 169923-169953,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.0,hypo,chromosome_1 614362-614392,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.0,hypo,chromosome_1 920300-920330,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.0,hypo,chromosome_2 457510-457539,1,Insertion,False
ATCC_14035_Vibrio_cholerae,25.0,nextpolish,chromosome_2 457509-457539,1,Deletion,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 1958717-1958753,2,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2475518-2475548,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2494270-2494308,2,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2584153-2584183,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2676687-2676717,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2676731-2676801,4,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2905285-2905315,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2911425-2911456,2,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 2994541-2994571,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 3093135-3093165,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,fmlrc2,chromosome 3185070-3185106,2,SNP,False
ATCC_25922_Escherichia_coli,25.0,hypo,chromosome 2146182-2146212,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,hypo,chromosome 2192585-2192615,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,hypo,chromosome 2452185-2452215,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,hypo,chromosome 3644447-3644492,2,SNP,False
ATCC_25922_Escherichia_coli,25.0,hypo,chromosome 3721915-3721945,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,hypo,chromosome 4175809-4175848,2,SNP,False
ATCC_25922_Escherichia_coli,25.0,nextpolish,chromosome 3358380-3358410,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,nextpolish,chromosome 3721915-3721945,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,nextpolish,chromosome 4287160-4287190,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,pilon,chromosome 1487700-1487898,115,Deletion,False
ATCC_25922_Escherichia_coli,25.0,pilon,chromosome 1940352-1940382,1,SNP,False
ATCC_25922_Escherichia_coli,25.0,pilon,chromosome 3230421-3230597,101,Deletion,False
ATCC_25922_Escherichia_coli,25.0,pypolca,chromosome 3358380-3358410,1,SNP,False
ATCC_35897_Listeria_welshimeri,25.0,fmlrc2,chromosome 431435-431469,5,Mixed,False
ATCC_35897_Listeria_welshimeri,25.0,fmlrc2,chromosome 1717202-1717233,2,SNP,False
ATCC_35897_Listeria_welshimeri,25.0,fmlrc2,chromosome 2310414-2310446,2,Mixed,False
ATCC_35897_Listeria_welshimeri,25.0,hypo,chromosome 1759542-1759572,1,SNP,False
ATCC_35897_Listeria_welshimeri,25.0,hypo,chromosome 1879509-1879539,1,SNP,False
ATCC_35897_Listeria_welshimeri,25.0,hypo,chromosome 2085794-2085824,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_1 1833454-1833484,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_1 1841890-1841944,10,Mixed,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_1 1869836-1869867,2,Mixed,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_1 1908934-1908964,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_1 1908984-1909014,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_1 2015882-2015925,6,Mixed,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_2 153746-153777,2,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,fmlrc2,chromosome_2 960697-960727,1,Deletion,True
ATCC_17802_Vibrio_parahaemolyticus,25.0,hypo,chromosome_1 356763-356793,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,hypo,chromosome_1 966316-966346,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,hypo,chromosome_1 1124786-1124816,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,hypo,chromosome_2 207082-207112,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,nextpolish,chromosome_1 1052619-1052649,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,nextpolish,chromosome_2 728876-728906,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,pilon,chromosome_1 1896166-1896196,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.0,polypolish-careful,chromosome_2 960697-960727,1,Deletion,True
ATCC_17802_Vibrio_parahaemolyticus,25.0,polypolish,chromosome_2 960697-960727,1,Deletion,True
ATCC_33560_Campylobacter_jejuni,25.0,fmlrc2,chromosome 562538-562632,21,Mixed,False
ATCC_33560_Campylobacter_jejuni,25.0,fmlrc2,chromosome 965063-965093,2,Insertion,False
ATCC_33560_Campylobacter_jejuni,25.0,fmlrc2,chromosome 1019737-1019767,1,SNP,False
ATCC_33560_Campylobacter_jejuni,25.0,fmlrc2,chromosome 1494990-1495028,2,Mixed,False
ATCC_33560_Campylobacter_jejuni,25.0,hypo,chromosome 683067-683096,1,Insertion,False
ATCC_33560_Campylobacter_jejuni,25.0,hypo,chromosome 753989-754019,1,Deletion,False
ATCC_33560_Campylobacter_jejuni,25.0,hypo,chromosome 1360516-1360546,1,SNP,False
ATCC_33560_Campylobacter_jejuni,25.0,hypo,chromosome 1486521-1486551,1,Deletion,False
ATCC_33560_Campylobacter_jejuni,25.0,nextpolish,chromosome 1486521-1486551,1,Deletion,False
ATCC_33560_Campylobacter_jejuni,25.0,pilon,chromosome 973473-973503,1,SNP,False
ATCC_33560_Campylobacter_jejuni,25.0,pilon,chromosome 1359190-1359237,2,SNP,False
ATCC_33560_Campylobacter_jejuni,25.0,polypolish-careful,chromosome 148683-148714,2,Deletion,True
ATCC_33560_Campylobacter_jejuni,25.0,polypolish,chromosome 148683-148714,2,Deletion,True
ATCC_BAA-679_Listeria_monocytogenes,25.0,fmlrc2,chromosome 1665013-1665143,52,Mixed,False
ATCC_BAA-679_Listeria_monocytogenes,25.0,hypo,chromosome 658796-658826,1,SNP,False
ATCC_BAA-679_Listeria_monocytogenes,25.0,hypo,chromosome 1169238-1169268,1,SNP,False
ATCC_BAA-679_Listeria_monocytogenes,25.0,hypo,chromosome 1623086-1623116,1,SNP,False
ATCC_BAA-679_Listeria_monocytogenes,25.0,hypo,chromosome 1749415-1749445,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,fmlrc2,chromosome 1156524-1156554,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,fmlrc2,chromosome 1252028-1252059,2,SNP,False
ATCC_10708_Salmonella_enterica,25.1,fmlrc2,chromosome 1759016-1759053,4,Mixed,False
ATCC_10708_Salmonella_enterica,25.1,fmlrc2,chromosome 2075941-2075973,2,SNP,False
ATCC_10708_Salmonella_enterica,25.1,fmlrc2,chromosome 2378955-2378997,2,SNP,False
ATCC_10708_Salmonella_enterica,25.1,fmlrc2,chromosome 3103992-3104022,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,fmlrc2,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 70692-70734,2,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 373390-373420,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 1141301-1141331,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 1278083-1278113,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 1885169-1885199,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 2703027-2703057,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 4496965-4496995,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 4497004-4497034,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,chromosome 4649783-4649813,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,hypo,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.1,nextpolish,chromosome 2316233-2316263,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,pilon,chromosome 1135336-1135366,1,SNP,False
ATCC_10708_Salmonella_enterica,25.1,pilon,chromosome 2378955-2379131,93,Deletion,False
ATCC_10708_Salmonella_enterica,25.1,pilon,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.1,polypolish-careful,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.1,polypolish,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.1,pypolca-careful,plasmid 12153-12183,1,Deletion,True
ATCC_19119_Listeria_ivanovii,25.1,fmlrc2,chromosome 1219105-1219140,4,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,fmlrc2,chromosome 1550757-1550818,8,Mixed,False
ATCC_19119_Listeria_ivanovii,25.1,fmlrc2,chromosome 1753657-1753686,1,Insertion,False
ATCC_19119_Listeria_ivanovii,25.1,fmlrc2,chromosome 1753689-1753719,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,fmlrc2,chromosome 2671890-2671920,1,Deletion,True
ATCC_19119_Listeria_ivanovii,25.1,fmlrc2,chromosome 2835745-2835780,4,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,hypo,chromosome 1188411-1188441,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,hypo,chromosome 1690353-1690383,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,hypo,chromosome 2244436-2244466,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,nextpolish,chromosome 2282775-2282825,2,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,nextpolish,chromosome 2540194-2540224,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.1,polypolish-careful,chromosome 2671888-2671920,3,Deletion,True
ATCC_19119_Listeria_ivanovii,25.1,polypolish,chromosome 2671888-2671920,3,Deletion,True
ATCC_19119_Listeria_ivanovii,25.1,pypolca,chromosome 549607-549675,23,Deletion,False
ATCC_35221_Campylobacter_lari,25.1,fmlrc2,chromosome 491974-492004,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,fmlrc2,chromosome 548170-548202,3,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,hypo,chromosome 380344-380374,1,SNP,False
ATCC_35221_Campylobacter_lari,25.1,hypo,chromosome 491965-491994,1,Insertion,False
ATCC_35221_Campylobacter_lari,25.1,hypo,chromosome 548173-548202,1,Insertion,False
ATCC_35221_Campylobacter_lari,25.1,nextpolish,chromosome 548172-548202,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,nextpolish,chromosome 1122521-1122551,1,SNP,False
ATCC_35221_Campylobacter_lari,25.1,pilon,chromosome 491974-492004,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,pilon,chromosome 548172-548202,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,polypolish-careful,chromosome 491974-492004,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,polypolish-careful,chromosome 548170-548202,3,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,polypolish,chromosome 491974-492004,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,polypolish,chromosome 548170-548202,3,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,pypolca,chromosome 491975-492004,1,Insertion,False
ATCC_35221_Campylobacter_lari,25.1,pypolca,chromosome 548172-548202,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,pypolca,chromosome 1122521-1122551,1,SNP,False
ATCC_35221_Campylobacter_lari,25.1,pypolca-careful,chromosome 491974-492004,1,Deletion,True
ATCC_35221_Campylobacter_lari,25.1,pypolca-careful,chromosome 548172-548202,1,Deletion,True
ATCC_14035_Vibrio_cholerae,25.1,fmlrc2,chromosome_1 2427772-2427802,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,fmlrc2,chromosome_1 2427803-2427832,1,Insertion,False
ATCC_14035_Vibrio_cholerae,25.1,fmlrc2,chromosome_2 48810-48844,3,Mixed,False
ATCC_14035_Vibrio_cholerae,25.1,fmlrc2,chromosome_2 853713-853750,3,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,fmlrc2,chromosome_2 884336-884366,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,fmlrc2,chromosome_2 922847-922877,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,fmlrc2,chromosome_2 981331-981375,8,Mixed,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_1 227279-227309,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_1 450833-450863,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_1 743839-743869,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_1 1441869-1441899,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_1 1560674-1560708,2,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_1 2111207-2111237,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_1 2504592-2504622,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_2 805507-805537,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,hypo,chromosome_2 930156-930186,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,nextpolish,chromosome_1 997185-997215,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,nextpolish,chromosome_1 2239426-2239456,1,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,nextpolish,chromosome_2 783502-783536,2,SNP,False
ATCC_14035_Vibrio_cholerae,25.1,pilon,chromosome_1 1179532-1179839,237,Deletion,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 864434-864464,1,Deletion,True
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 1938766-1938802,3,SNP,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 1960052-1960082,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 2134118-2134189,6,Mixed,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 2617488-2617518,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 2912548-2912578,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 2921464-2921503,3,SNP,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 3002540-3002614,7,Mixed,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 3119156-3119207,14,Mixed,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 3222940-3222974,4,Mixed,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 3490485-3490516,2,Mixed,False
ATCC_25922_Escherichia_coli,25.1,fmlrc2,chromosome 3958648-3958685,2,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 697295-697325,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 864434-864464,1,Deletion,True
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 1878535-1878565,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 2357810-2357840,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 2619649-2619679,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 2826096-2826126,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 3187299-3187329,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 3358360-3358390,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,hypo,chromosome 3362177-3362207,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,nextpolish,chromosome 1829655-1829685,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,nextpolish,chromosome 1878535-1878565,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,nextpolish,chromosome 2306460-2306490,1,SNP,False
ATCC_25922_Escherichia_coli,25.1,nextpolish,chromosome 2619649-2619679,1,SNP,False
ATCC_35897_Listeria_welshimeri,25.1,fmlrc2,chromosome 431435-431477,8,Mixed,False
ATCC_35897_Listeria_welshimeri,25.1,fmlrc2,chromosome 1618197-1618258,13,Mixed,False
ATCC_35897_Listeria_welshimeri,25.1,hypo,chromosome 1362490-1362520,1,SNP,False
ATCC_35897_Listeria_welshimeri,25.1,hypo,chromosome 2453945-2453977,2,Mixed,False
ATCC_35897_Listeria_welshimeri,25.1,nextpolish,chromosome 2453945-2453977,2,Mixed,False
ATCC_35897_Listeria_welshimeri,25.1,pypolca,chromosome 2453945-2453975,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,fmlrc2,chromosome_1 1841783-1841813,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,fmlrc2,chromosome_1 1913947-1913977,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,fmlrc2,chromosome_1 1914006-1914062,2,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,fmlrc2,chromosome_1 1914065-1914095,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,fmlrc2,chromosome_1 1967843-1967874,2,Mixed,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,nextpolish,chromosome_1 839017-839047,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,nextpolish,chromosome_1 1913949-1913979,1,SNP,False
ATCC_17802_Vibrio_parahaemolyticus,25.1,pypolca,chromosome_2 849745-849775,1,SNP,False
ATCC_33560_Campylobacter_jejuni,25.1,hypo,chromosome 797292-797321,1,Insertion,False
ATCC_33560_Campylobacter_jejuni,25.1,nextpolish,chromosome 1486521-1486551,1,Deletion,False
ATCC_33560_Campylobacter_jejuni,25.1,pilon,chromosome 978612-978642,1,SNP,False
ATCC_33560_Campylobacter_jejuni,25.1,polypolish-careful,chromosome 148683-148714,2,Deletion,True
ATCC_33560_Campylobacter_jejuni,25.1,polypolish,chromosome 148683-148714,2,Deletion,True
ATCC_BAA-679_Listeria_monocytogenes,25.1,hypo,chromosome 4087-4117,1,SNP,False
ATCC_BAA-679_Listeria_monocytogenes,25.1,hypo,chromosome 478481-478511,1,SNP,False
ATCC_BAA-679_Listeria_monocytogenes,25.1,hypo,chromosome 658797-658826,1,Insertion,False
ATCC_BAA-679_Listeria_monocytogenes,25.1,hypo,chromosome 2559494-2559525,2,SNP,False
ATCC_BAA-679_Listeria_monocytogenes,25.1,nextpolish,chromosome 1528176-1528218,4,SNP,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 463425-463486,19,Mixed,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 1163074-1163105,2,SNP,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 1295772-1295802,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 2075941-2075973,2,SNP,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 2772346-2772385,7,Mixed,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 2781435-2781465,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 2827514-2827565,8,SNP,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,chromosome 2829242-2829272,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,fmlrc2,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.2,hypo,chromosome 990175-990205,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,hypo,chromosome 1617106-1617136,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,hypo,chromosome 2248718-2248748,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,hypo,chromosome 3517002-3517032,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,hypo,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 1135307-1135337,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 1571758-1571793,3,Mixed,False
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 1836199-1836229,1,Deletion,False
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 2465613-2465643,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 2926581-2926611,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 3004344-3004374,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 3424568-3424598,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,nextpolish,chromosome 4402538-4402568,1,SNP,False
ATCC_10708_Salmonella_enterica,25.2,pilon,chromosome 3656883-3656913,1,SNP,False
