genome	genome_size	target_illumina_depth	read_count	read_bases	actual_illumina_depth
ATCC_33560_Campylobacter_jejuni	1768448	01.4	20628	2483424	1.404295
ATCC_35221_Campylobacter_lari	1513368	01.4	16448	2123045	1.402861
ATCC_35897_Listeria_welshimeri	2814137	01.4	30458	3930025	1.396529
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.4	34260	4116318	1.397954
ATCC_10708_Salmonella_enterica	4801704	01.5	64066	7211913	1.501948
ATCC_14035_Vibrio_cholerae	4142374	01.5	48800	6210637	1.499294
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.5	63346	7706923	1.497335
ATCC_19119_Listeria_ivanovii	2919549	01.5	41704	4373859	1.498128
ATCC_25922_Escherichia_coli	5204893	01.5	64016	7804795	1.499511
ATCC_33560_Campylobacter_jejuni	1768448	01.5	22100	2661364	1.504915
ATCC_35221_Campylobacter_lari	1513368	01.5	17624	2272793	1.501811
ATCC_35897_Listeria_welshimeri	2814137	01.5	32634	4207967	1.495295
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.5	36708	4425255	1.502873
ATCC_10708_Salmonella_enterica	4801704	01.6	68338	7681121	1.599665
ATCC_14035_Vibrio_cholerae	4142374	01.6	52052	6624745	1.599262
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.6	67570	8246720	1.602209
ATCC_19119_Listeria_ivanovii	2919549	01.6	44486	4651028	1.593063
ATCC_25922_Escherichia_coli	5204893	01.6	68284	8326154	1.599678
ATCC_33560_Campylobacter_jejuni	1768448	01.6	23574	2832225	1.601531
ATCC_35221_Campylobacter_lari	1513368	01.6	18798	2425253	1.602553
ATCC_35897_Listeria_welshimeri	2814137	01.6	34810	4495681	1.597534
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.6	39154	4720901	1.603278
ATCC_10708_Salmonella_enterica	4801704	01.7	72608	8139487	1.695124
ATCC_14035_Vibrio_cholerae	4142374	01.7	55306	7040194	1.699555
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.7	71792	8755439	1.701046
ATCC_19119_Listeria_ivanovii	2919549	01.7	47266	4957491	1.698033
ATCC_25922_Escherichia_coli	5204893	01.7	72552	8854808	1.701246
ATCC_33560_Campylobacter_jejuni	1768448	01.7	25048	3029410	1.713033
ATCC_35221_Campylobacter_lari	1513368	01.7	19974	2576974	1.702807
ATCC_35897_Listeria_welshimeri	2814137	01.7	36986	4780449	1.698726
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.7	41602	5006070	1.700125
ATCC_10708_Salmonella_enterica	4801704	01.8	76880	8610219	1.793159
ATCC_14035_Vibrio_cholerae	4142374	01.8	58560	7466861	1.802555
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.8	76016	9257635	1.798614
ATCC_19119_Listeria_ivanovii	2919549	01.8	50046	5252742	1.799162
ATCC_25922_Escherichia_coli	5204893	01.8	76820	9366142	1.799487
ATCC_33560_Campylobacter_jejuni	1768448	01.8	26520	3197692	1.808191
ATCC_35221_Campylobacter_lari	1513368	01.8	21148	2721908	1.798576
ATCC_35897_Listeria_welshimeri	2814137	01.8	39160	5054413	1.796079
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.8	44048	5306583	1.802183
ATCC_10708_Salmonella_enterica	4801704	01.9	81150	9115922	1.898476
ATCC_14035_Vibrio_cholerae	4142374	01.9	61812	7873764	1.900785
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.9	80240	9783291	1.900741
ATCC_19119_Listeria_ivanovii	2919549	01.9	52826	5551903	1.901630
ATCC_25922_Escherichia_coli	5204893	01.9	81088	9891918	1.900503
ATCC_33560_Campylobacter_jejuni	1768448	01.9	27994	3353630	1.896369
ATCC_35221_Campylobacter_lari	1513368	01.9	22324	2886882	1.907587
ATCC_35897_Listeria_welshimeri	2814137	01.9	41336	5342525	1.898459
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.9	46496	5596587	1.900672
ATCC_10708_Salmonella_enterica	4801704	02.0	85422	9597355	1.998739
ATCC_14035_Vibrio_cholerae	4142374	02.0	65066	8274687	1.997571
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.0	84462	10305572	2.002212
ATCC_19119_Listeria_ivanovii	2919549	02.0	55606	5831551	1.997415
ATCC_25922_Escherichia_coli	5204893	02.0	85354	10409270	1.999900
ATCC_33560_Campylobacter_jejuni	1768448	02.0	29468	3553418	2.009342
ATCC_35221_Campylobacter_lari	1513368	02.0	23498	3012545	1.990622
ATCC_35897_Listeria_welshimeri	2814137	02.0	43512	5629456	2.000420
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.0	48944	5906305	2.005856
ATCC_10708_Salmonella_enterica	4801704	02.1	89692	10088059	2.100933
ATCC_14035_Vibrio_cholerae	4142374	02.1	68318	8705151	2.101488
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.1	88686	10816725	2.101522
ATCC_19119_Listeria_ivanovii	2919549	02.1	58386	6117928	2.095504
ATCC_25922_Escherichia_coli	5204893	02.1	89622	10928974	2.099749
ATCC_33560_Campylobacter_jejuni	1768448	02.1	30940	3714396	2.100370
ATCC_35221_Campylobacter_lari	1513368	02.1	24674	3170329	2.094883
ATCC_35897_Listeria_welshimeri	2814137	02.1	45688	5899710	2.096454
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.1	51390	6182257	2.099573
ATCC_10708_Salmonella_enterica	4801704	02.2	93964	10548989	2.196926
ATCC_14035_Vibrio_cholerae	4142374	02.2	71572	9122217	2.202171
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.2	92908	11328772	2.201004
ATCC_19119_Listeria_ivanovii	2919549	02.2	61168	6426931	2.201343
ATCC_25922_Escherichia_coli	5204893	02.2	93890	11443879	2.198677
ATCC_33560_Campylobacter_jejuni	1768448	02.2	32414	3903035	2.207039
ATCC_35221_Campylobacter_lari	1513368	02.2	25848	3340020	2.207011
ATCC_35897_Listeria_welshimeri	2814137	02.2	47864	6174069	2.193947
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.2	53838	6496715	2.206367
ATCC_10708_Salmonella_enterica	4801704	02.3	98234	11067862	2.304986
ATCC_14035_Vibrio_cholerae	4142374	02.3	74826	9532023	2.301101
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.3	97132	11855354	2.303311
ATCC_19119_Listeria_ivanovii	2919549	02.3	63948	6732879	2.306136
ATCC_25922_Escherichia_coli	5204893	02.3	98158	11989614	2.303527
ATCC_33560_Campylobacter_jejuni	1768448	02.3	33888	4078331	2.306163
ATCC_35221_Campylobacter_lari	1513368	02.3	27022	3483705	2.301954
ATCC_35897_Listeria_welshimeri	2814137	02.3	50038	6488399	2.305644
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.3	56284	6775779	2.301141
ATCC_10708_Salmonella_enterica	4801704	02.4	102506	11534953	2.402262
ATCC_14035_Vibrio_cholerae	4142374	02.4	78078	9939389	2.399442
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.4	101354	12330013	2.395530
ATCC_19119_Listeria_ivanovii	2919549	02.4	66728	6997758	2.396862
ATCC_25922_Escherichia_coli	5204893	02.4	102426	12499904	2.401567
ATCC_33560_Campylobacter_jejuni	1768448	02.4	35360	4236025	2.395334
ATCC_35221_Campylobacter_lari	1513368	02.4	28198	3631060	2.399323
ATCC_35897_Listeria_welshimeri	2814137	02.4	52214	6766734	2.404550
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.4	58732	7073527	2.402260
ATCC_10708_Salmonella_enterica	4801704	02.5	106778	11972150	2.493312
ATCC_14035_Vibrio_cholerae	4142374	02.5	81332	10363481	2.501821
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.5	105578	12882014	2.502775
ATCC_19119_Listeria_ivanovii	2919549	02.5	69508	7279642	2.493413
ATCC_25922_Escherichia_coli	5204893	02.5	106694	13034564	2.504290
ATCC_33560_Campylobacter_jejuni	1768448	02.5	36834	4417347	2.497866
ATCC_35221_Campylobacter_lari	1513368	02.5	29372	3780640	2.498163
ATCC_35897_Listeria_welshimeri	2814137	02.5	54390	7024847	2.496270
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.5	61178	7374695	2.504540
ATCC_10708_Salmonella_enterica	4801704	02.6	111048	12459473	2.594802
ATCC_14035_Vibrio_cholerae	4142374	02.6	84586	10754192	2.596142
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.6	109800	13405911	2.604560
ATCC_19119_Listeria_ivanovii	2919549	02.6	72288	7593069	2.600767
ATCC_25922_Escherichia_coli	5204893	02.6	110962	13511926	2.596004
ATCC_33560_Campylobacter_jejuni	1768448	02.6	38308	4619463	2.612156
ATCC_35221_Campylobacter_lari	1513368	02.6	30548	3938504	2.602476
ATCC_35897_Listeria_welshimeri	2814137	02.6	56566	7310867	2.597907
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.6	63626	7653646	2.599275
ATCC_10708_Salmonella_enterica	4801704	02.7	115320	12951895	2.697353
ATCC_14035_Vibrio_cholerae	4142374	02.7	87838	11172033	2.697012
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.7	114024	13930884	2.706554
ATCC_19119_Listeria_ivanovii	2919549	02.7	75068	7896892	2.704832
ATCC_25922_Escherichia_coli	5204893	02.7	115230	14033592	2.696230
ATCC_33560_Campylobacter_jejuni	1768448	02.7	39780	4781719	2.703907
ATCC_35221_Campylobacter_lari	1513368	02.7	31722	4088514	2.701599
ATCC_35897_Listeria_welshimeri	2814137	02.7	58742	7603914	2.702041
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.7	66074	7952642	2.700818
ATCC_10708_Salmonella_enterica	4801704	02.8	119590	13418463	2.794521
ATCC_14035_Vibrio_cholerae	4142374	02.8	91092	11622313	2.805713
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.8	118248	14429906	2.803507
ATCC_19119_Listeria_ivanovii	2919549	02.8	77848	8177095	2.800807
ATCC_25922_Escherichia_coli	5204893	02.8	119496	14578695	2.800959
ATCC_33560_Campylobacter_jejuni	1768448	02.8	41254	4920301	2.782270
ATCC_35221_Campylobacter_lari	1513368	02.8	32898	4241335	2.802580
ATCC_35897_Listeria_welshimeri	2814137	02.8	60916	7895171	2.805538
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.8	68520	8222735	2.792545
ATCC_10708_Salmonella_enterica	4801704	02.9	123862	13932354	2.901543
ATCC_14035_Vibrio_cholerae	4142374	02.9	94346	12014795	2.900461
ATCC_17802_Vibrio_parahaemolyticus	5147091	02.9	122470	14918181	2.898371
ATCC_19119_Listeria_ivanovii	2919549	02.9	80630	8459592	2.897568
ATCC_25922_Escherichia_coli	5204893	02.9	123764	15089929	2.899181
ATCC_33560_Campylobacter_jejuni	1768448	02.9	42728	5126400	2.898812
ATCC_35221_Campylobacter_lari	1513368	02.9	34072	4407947	2.912673
ATCC_35897_Listeria_welshimeri	2814137	02.9	63092	8164780	2.901344
ATCC_BAA-679_Listeria_monocytogenes	2944530	02.9	70968	8544098	2.901684
ATCC_10708_Salmonella_enterica	4801704	03.0	128132	14409379	3.000888
ATCC_14035_Vibrio_cholerae	4142374	03.0	97598	12434769	3.001846
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.0	126694	15455084	3.002683
ATCC_19119_Listeria_ivanovii	2919549	03.0	83410	8770821	3.004169
ATCC_25922_Escherichia_coli	5204893	03.0	128032	15580575	2.993447
ATCC_33560_Campylobacter_jejuni	1768448	03.0	44200	5326870	3.012172
ATCC_35221_Campylobacter_lari	1513368	03.0	35248	4535377	2.996876
ATCC_35897_Listeria_welshimeri	2814137	03.0	65268	8425343	2.993934
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.0	73414	8853419	3.006734
ATCC_10708_Salmonella_enterica	4801704	03.1	132404	14891909	3.101380
ATCC_14035_Vibrio_cholerae	4142374	03.1	100852	12833451	3.098090
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.1	130916	15921548	3.093309
ATCC_19119_Listeria_ivanovii	2919549	03.1	86190	9040212	3.096441
ATCC_25922_Escherichia_coli	5204893	03.1	132300	16112349	3.095615
ATCC_33560_Campylobacter_jejuni	1768448	03.1	45674	5512320	3.117038
ATCC_35221_Campylobacter_lari	1513368	03.1	36422	4684614	3.095489
ATCC_35897_Listeria_welshimeri	2814137	03.1	67444	8713776	3.096429
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.1	75862	9121901	3.097914
ATCC_10708_Salmonella_enterica	4801704	03.2	136674	15382479	3.203545
ATCC_14035_Vibrio_cholerae	4142374	03.2	104104	13257001	3.200338
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.2	135140	16489673	3.203687
ATCC_19119_Listeria_ivanovii	2919549	03.2	88970	9309760	3.188766
ATCC_25922_Escherichia_coli	5204893	03.2	136568	16672935	3.203319
ATCC_33560_Campylobacter_jejuni	1768448	03.2	47148	5650153	3.194978
ATCC_35221_Campylobacter_lari	1513368	03.2	37596	4848890	3.204038
ATCC_35897_Listeria_welshimeri	2814137	03.2	69620	9015884	3.203782
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.2	78310	9409220	3.195491
ATCC_10708_Salmonella_enterica	4801704	03.3	140946	15831160	3.296987
ATCC_14035_Vibrio_cholerae	4142374	03.3	107358	13706655	3.308888
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.3	139362	16997847	3.302418
ATCC_19119_Listeria_ivanovii	2919549	03.3	91750	9630999	3.298796
ATCC_25922_Escherichia_coli	5204893	03.3	140836	17159637	3.296828
ATCC_33560_Campylobacter_jejuni	1768448	03.3	48620	5828447	3.295797
ATCC_35221_Campylobacter_lari	1513368	03.3	38772	4993374	3.299510
ATCC_35897_Listeria_welshimeri	2814137	03.3	71794	9288189	3.300546
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.3	80756	9713409	3.298797
ATCC_10708_Salmonella_enterica	4801704	03.4	145216	16337799	3.402500
ATCC_14035_Vibrio_cholerae	4142374	03.4	110612	14080844	3.399220
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.4	143586	17523091	3.404464
ATCC_19119_Listeria_ivanovii	2919549	03.4	94530	9939324	3.404403
ATCC_25922_Escherichia_coli	5204893	03.4	145104	17655192	3.392037
ATCC_33560_Campylobacter_jejuni	1768448	03.4	50094	6013865	3.400645
ATCC_35221_Campylobacter_lari	1513368	03.4	39946	5168002	3.414901
ATCC_35897_Listeria_welshimeri	2814137	03.4	73970	9568247	3.400064
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.4	83204	10011023	3.399871
ATCC_10708_Salmonella_enterica	4801704	03.5	149488	16809782	3.500795
ATCC_14035_Vibrio_cholerae	4142374	03.5	113864	14483587	3.496445
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.5	147810	18029917	3.502933
ATCC_19119_Listeria_ivanovii	2919549	03.5	97312	10247341	3.509905
ATCC_25922_Escherichia_coli	5204893	03.5	149372	18236332	3.503690
ATCC_33560_Campylobacter_jejuni	1768448	03.5	51568	6175738	3.492179
ATCC_35221_Campylobacter_lari	1513368	03.5	41122	5290910	3.496115
ATCC_35897_Listeria_welshimeri	2814137	03.5	76146	9847174	3.499180
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.5	85650	10312941	3.502406
ATCC_10708_Salmonella_enterica	4801704	03.6	153760	17292430	3.601311
ATCC_14035_Vibrio_cholerae	4142374	03.6	117118	14894943	3.595750
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.6	152032	18537807	3.601608
ATCC_19119_Listeria_ivanovii	2919549	03.6	100092	10514527	3.601421
ATCC_25922_Escherichia_coli	5204893	03.6	153638	18756962	3.603717
ATCC_33560_Campylobacter_jejuni	1768448	03.6	53040	6352007	3.591853
ATCC_35221_Campylobacter_lari	1513368	03.6	42296	5442763	3.596457
ATCC_35897_Listeria_welshimeri	2814137	03.6	78322	10123949	3.597532
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.6	88098	10596789	3.598804
ATCC_10708_Salmonella_enterica	4801704	03.7	158030	17754331	3.697506
ATCC_14035_Vibrio_cholerae	4142374	03.7	120372	15299375	3.693383
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.7	156256	19062073	3.703465
ATCC_19119_Listeria_ivanovii	2919549	03.7	102872	10847139	3.715347
ATCC_25922_Escherichia_coli	5204893	03.7	157906	19276056	3.703449
ATCC_33560_Campylobacter_jejuni	1768448	03.7	54514	6520334	3.687037
ATCC_35221_Campylobacter_lari	1513368	03.7	43472	5614406	3.709874
ATCC_35897_Listeria_welshimeri	2814137	03.7	80498	10422678	3.703685
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.7	90544	10885852	3.696974
ATCC_10708_Salmonella_enterica	4801704	03.8	162302	18271142	3.805137
ATCC_14035_Vibrio_cholerae	4142374	03.8	123624	15738226	3.799325
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.8	160478	19566847	3.801535
ATCC_19119_Listeria_ivanovii	2919549	03.8	105652	11101387	3.802432
ATCC_25922_Escherichia_coli	5204893	03.8	162174	19801588	3.804417
ATCC_33560_Campylobacter_jejuni	1768448	03.8	55988	6738705	3.810519
ATCC_35221_Campylobacter_lari	1513368	03.8	44646	5747087	3.797547
ATCC_35897_Listeria_welshimeri	2814137	03.8	82672	10676197	3.793773
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.8	92992	11151765	3.787281
ATCC_10708_Salmonella_enterica	4801704	03.9	166572	18734129	3.901558
ATCC_14035_Vibrio_cholerae	4142374	03.9	126878	16141972	3.896792
ATCC_17802_Vibrio_parahaemolyticus	5147091	03.9	164702	20033866	3.892269
ATCC_19119_Listeria_ivanovii	2919549	03.9	108432	11405169	3.906483
ATCC_25922_Escherichia_coli	5204893	03.9	166442	20313307	3.902732
ATCC_33560_Campylobacter_jejuni	1768448	03.9	57460	6886507	3.894096
ATCC_35221_Campylobacter_lari	1513368	03.9	45822	5889876	3.891899
ATCC_35897_Listeria_welshimeri	2814137	03.9	84848	10970748	3.898441
ATCC_BAA-679_Listeria_monocytogenes	2944530	03.9	95440	11474907	3.897024
ATCC_10708_Salmonella_enterica	4801704	04.0	170844	19170441	3.992424
ATCC_14035_Vibrio_cholerae	4142374	04.0	130132	16568767	3.999824
ATCC_17802_Vibrio_parahaemolyticus	5147091	04.0	168924	20569399	3.996315
